15,6.396134122
20,6.550374457
25,4.315327618
30,3.621551641
35,3.661376763
40,3.543791282
45,2.696250321
50,3.416139337
55,2.431704259
60,3.404632524
65,3.284039452
70,3.232043153
75,3.113247746
80,3.266648085
85,2.380054459
90,3.475243744
95,3.172413041
100,3.418796534
105,3.1924319
110,3.199807824
115,3.040306296
120,3.196829166
125,3.305696172
130,3.324051316
135,3.236183243
140,3.207037888
145,3.170137417
150,3.394465192
155,3.113684133
160,3.468620624
165,3.466111369
170,3.24325005
175,3.312280705
180,3.313112518
185,2.64830689
190,3.001801708
195,3.465396069
200,3.604561256
205,3.366874964
210,2.519519761
215,3.49601222
220,2.606271204
225,3.722577878
230,3.515203549
235,3.793429318
240,3.64160397
245,3.414223855
250,3.417481164
